channel name	location
A	Amygdala
AC	Anterior cingulate
AF	Anterior frontal
AH	Anterior hippocampus
AI	anterior insula
BAA	Basal amygdala
EC	Enthorhinal cortex
FOP	frontal operculum
FSG	fusiform gyrus
H	Hippocampus
HET	Heterotopia
HSG	Heschl's gyrus
IO	inferior occipital
IOp	inferior occipital posterior
MH	Middle hippocampus
MO	Middle occipital
MTG	Middle temporal gyrus
O	occipital
OF	Orbitofrontal
OPAI	operculum anterior insula
OPR	operculum
PHG	Parahippocampal gyrus
PO	parieto-occipital
PRC	perirhinal cortex
PSMA	pre-supplementary motor area
PT	parieto-temporal
SMG	Supramarginal gyrus
SO	superior occipital
STG	superior temporal gyrus
TOP	Temporo occipital
Tp	Temporal posterior
