name	type	units	low_cutoff	high_cutoff	sampling_frequency	side	soz_region
RA2	SEEG	µV	0.0	500.0	1000.0	R	1
RA3	SEEG	µV	0.0	500.0	1000.0	R	1
RAH1	SEEG	µV	0.0	500.0	1000.0	R	1
RAH2	SEEG	µV	0.0	500.0	1000.0	R	1
RAH3	SEEG	µV	0.0	500.0	1000.0	R	1
RMH1	SEEG	µV	0.0	500.0	1000.0	R	1
RMH2	SEEG	µV	0.0	500.0	1000.0	R	1
RMH3	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG1	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG2	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG3	SEEG	µV	0.0	500.0	1000.0	R	1
RA2-RA3	SEEG	µV	0.0	500.0	1000.0	R	1
RA3-RA4	SEEG	µV	0.0	500.0	1000.0	R	1
RAH1-RAH2	SEEG	µV	0.0	500.0	1000.0	R	1
RAH2-RAH3	SEEG	µV	0.0	500.0	1000.0	R	1
RAH3-RAH4	SEEG	µV	0.0	500.0	1000.0	R	1
RMH1-RMH2	SEEG	µV	0.0	500.0	1000.0	R	1
RMH2-RMH3	SEEG	µV	0.0	500.0	1000.0	R	1
RMH3-RMH4	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG1-RPHG2	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG2-RPHG3	SEEG	µV	0.0	500.0	1000.0	R	1
RPHG3-RPHG4	SEEG	µV	0.0	500.0	1000.0	R	1
