name	x	y	z	size
LOF7	-43.0	61.6667	-8.667	n/a
LOF6	-37.5	61.0	-8.0	n/a
LOF5	-32.0	60.3333	-8.333	n/a
LOF4	-27.0	59.5	-8.0	n/a
LOF3	-21.0	59.5	-8.0	n/a
LOF2	-16.0	58.6667	-8.333	n/a
LOF1	-13.0	58.6667	-8.333	n/a
LA5	-47.5	18.0	-29.5	n/a
LA4	-42.667	18.0	-29.667	n/a
LA3	-37.5	17.5	-30.0	n/a
LA2	-32.5	17.5	-30.0	n/a
LA1	-27.5	16.667	-30.333	n/a
LPRC5	-62.0	5.0	-24.5	n/a
LPRC4	-56.0	4.5	-25.0	n/a
LPRC3	-51.0	4.5	-25.0	n/a
LPRC2	-45.5	4.0	-25.0	n/a
LPRC1	-42.5	4.0	-25.0	n/a
LFSG5	-63.0	-19.333	-17.667	n/a
LFSG4	-57.333	-19.667	-18.0	n/a
LFSG3	-52.0	-20.333	-18.333	n/a
LFSG2	-47.0	-20.5	-18.0	n/a
LFSG1	-44.0	-20.667	-18.333	n/a
LOPR3	-54.0	28.5	6.5	n/a
LOPR2	-48.0	28.0	6.0	n/a
LOPR1	-45.5	28.0	6.0	n/a
LSTG4	-63.6	9.2	-5.6	n/a
LSTG3	-58.0	8.5	-6.0	n/a
LSTG2	-53.0	7.5	-6.0	n/a
LSTG1	-49.667	7.0	-6.667	n/a
LHSG4	-60.0	-0.667	2.333	n/a
LHSG3	-54.667	-1.0	2.333	n/a
LHSG2	-49.0	-1.333	1.667	n/a
LHSG1	-46.0	-1.333	1.667	n/a
RA8	58.0	6.667	-26.667	n/a
RA7	53.0	7.0	-26.5	n/a
RA6	47.0	6.667	-26.333	n/a
RA5	41.6667	7.333	-26.0	n/a
RA4	36.0	7.333	-25.667	n/a
RA3	31.0	7.333	-25.333	n/a
RA2	25.0	7.5	-25.0	n/a
RA1	22.0	8.0	-24.5	n/a
RAH8	59.0	-5.5	-24.5	n/a
RAH7	54.0	-5.5	-24.0	n/a
RAH6	48.3333	-5.0	-23.667	n/a
RAH5	43.0	-4.667	-23.333	n/a
RAH4	37.5	-4.5	-23.0	n/a
RAH3	32.0	-4.333	-22.667	n/a
RAH2	26.5	-4.0	-22.5	n/a
RAH1	23.75	-3.75	-22.25	n/a
RHSG5	59.0	-7.5	-7.0	n/a
RHSG4	53.0	-7.0	-7.5	n/a
RHSG3	48.0	-7.0	-7.5	n/a
RHSG2	42.0	-6.0	-8.0	n/a
RHSG1	39.0	-6.0	-7.5	n/a
